source_result_dir,model,operation_id,case_study,final_attempt,error_type
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_checkCreditHistory,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_reviewCheckingAccount,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_listAvaiableLoanTerm,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_addLoanTerm,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_evaluateLoanRequest_approveLoanRequest,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_generateLoanLetterAndAgreement_generateLoanAgreement,Loan Processing,5,llm_api_error
rq_qwen3_coder_flash_full_oracle_fixed,qwen3-coder-flash,LoanProcessingSystem_submitLoanRequest_calculateScore,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,CoCoME_orderProducts_placeOrder,CoCoME,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,CoCoME_processSale_endSale,CoCoME,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,CoCoME_processSale_makeCashPayment,CoCoME,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_countDownSuspensionDay_countDownSuspensionDay,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_listBookHistory_listBorrowHistory,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_listBookHistory_listHodingBook,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_listBookHistory_listOverDueBook,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_listBookHistory_listReservationBook,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_listBookHistory_listRecommendBook,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_searchBook_searchBookByBarCode,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_searchBook_searchBookByTitle,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_searchBook_searchBookByAuthor,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_searchBook_searchBookByISBN,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LibraryManagementSystem_searchBook_searchBookBySubject,Library Management,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_enterValidatedCreditReferences_markRequestValid,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_evaluateLoanRequest_checkCreditHistory,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_evaluateLoanRequest_reviewCheckingAccount,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_evaluateLoanRequest_addLoanTerm,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_evaluateLoanRequest_approveLoanRequest,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_generateLoanLetterAndAgreement_generateLoanAgreement,Loan Processing,5,llm_api_error
rq_qwen3_coder_plus_full_oracle_fixed,qwen3-coder-plus,LoanProcessingSystem_submitLoanRequest_calculateScore,Loan Processing,5,llm_api_error
